survived,passenger_id,pclass,sex,age,fare,embarked,cabin_type,ticket_cat,marital_status,fam_size
0,223,3,male,51,8.05,S,UO,10k_up,unk_na,solo
0,224,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
1,225,1,male,38,90,S,C,10k_up,unk_na,small
0,226,3,male,22,9.350000000000001,S,UO,P,unk_na,solo
1,227,2,male,19,10.5,S,UO,other,unk_na,solo
0,228,3,male,20.5,7.25,S,UO,A,unk_na,solo
0,229,2,male,18,13,S,UO,200k,unk_na,solo
0,230,3,female,18.3,25.466699999999996,S,UO,under_10k,Fum,large
1,231,1,female,35,83.475,S,C,10k_up,Fm,small
0,232,3,male,29,7.775,S,UO,300k,unk_na,solo
0,233,2,male,59,13.5,S,UO,200k,unk_na,solo
1,234,3,female,5,31.3875,S,UO,300k,Fum,large
0,235,2,male,24,10.5,S,UO,C,unk_na,solo
0,236,3,female,24.7,7.55,S,UO,other,Fum,solo
0,237,2,male,44,26,S,UO,10k_up,unk_na,small
1,238,2,female,8,26.25,S,UO,C,Fum,small
0,239,2,male,19,10.5,S,UO,10k_up,unk_na,solo
0,240,2,male,33,12.275,S,UO,SC,unk_na,solo
0,241,3,female,16.45,14.4542,C,UO,under_10k,Fum,small
1,242,3,female,22.85,15.5,Q,UO,300k,Fum,small
0,243,2,male,29,10.5,S,UO,other,unk_na,solo
0,244,3,male,22,7.124999999999999,S,UO,STO,unk_na,solo
0,245,3,male,30,7.225,C,UO,under_10k,unk_na,solo
0,246,1,male,44,90,Q,C,10k_up,unk_na,small
0,247,3,female,25,7.775,S,UO,300k,Fum,solo
1,248,2,female,24,14.5,S,UO,200k,Fm,small
1,249,1,male,37,52.554199999999994,S,D,10k_up,unk_na,small
0,250,2,male,54,26,S,UO,200k,unk_na,small
0,251,3,male,31.15,7.25,S,UO,300k,unk_na,solo
0,252,3,female,29,10.462500000000002,S,UO,300k,Fm,small
0,253,1,male,62,26.55,S,C,100k,unk_na,solo
0,254,3,male,30,16.1,S,UO,A,unk_na,small
0,255,3,female,41,20.2125,S,UO,300k,Fm,small
1,256,3,female,29,15.2458,C,UO,under_10k,Fm,small
1,257,1,female,31.8,79.2,C,UO,P,Fm,solo
1,258,1,female,30,86.5,S,B,100k,Fum,solo
1,259,1,female,35,512.3291999999999,C,UO,P,Fum,solo
1,260,2,female,50,26,S,UO,200k,Fm,small
0,261,3,male,37.3,7.75,Q,UO,300k,unk_na,solo
1,262,3,male,3,31.3875,S,UO,300k,unk_na,large
0,263,1,male,52,79.64999999999999,S,E,100k,unk_na,small
0,264,1,male,40,0,S,B,100k,unk_na,solo
0,265,3,female,22.85,7.75,Q,UO,300k,Fum,solo
0,266,2,male,36,10.5,S,UO,C,unk_na,solo
0,267,3,male,16,39.6875,S,UO,mil,unk_na,large
1,268,3,male,25,7.775,S,UO,300k,unk_na,small
1,269,1,female,58,153.4625,S,C,P,Fm,small
1,270,1,female,35,135.6333,S,C,P,Fum,solo
0,271,1,male,51.75,31,S,UO,100k,unk_na,solo
1,272,3,male,25,0,S,UO,other,unk_na,solo
1,273,2,female,41,19.5,S,UO,200k,Fm,small
0,274,1,male,37,29.7,C,C,P,unk_na,small
1,275,3,female,22.85,7.75,Q,UO,300k,Fum,solo
1,276,1,female,63,77.9583,S,D,10k_up,Fum,small
0,277,3,female,45,7.75,S,UO,300k,Fum,solo
0,278,2,male,35.6,0,S,UO,200k,unk_na,solo
0,279,3,male,7,29.125,Q,UO,300k,unk_na,large
1,280,3,female,35,20.25,S,UO,C,Fm,small
0,281,3,male,65,7.75,Q,UO,300k,unk_na,solo
0,282,3,male,28,7.8542,S,UO,300k,unk_na,solo
0,283,3,male,16,9.5,S,UO,300k,unk_na,solo
1,284,3,male,19,8.05,S,UO,A,unk_na,solo
0,285,1,male,47.8,26,S,A,100k,unk_na,solo
0,286,3,male,33,8.662500000000001,C,UO,300k,unk_na,solo
1,287,3,male,30,9.5,S,UO,300k,unk_na,solo
0,288,3,male,22,7.8957999999999995,S,UO,300k,unk_na,solo
1,289,2,male,42,13,S,UO,200k,unk_na,solo
1,290,3,female,22,7.75,Q,UO,300k,Fum,solo
1,291,1,female,26,78.85,S,UO,10k_up,Fum,solo
1,292,1,female,19,91.0792,C,B,10k_up,Fm,small
0,293,2,male,36,12.875000000000002,C,D,SC,unk_na,solo
0,294,3,female,24,8.850000000000001,S,UO,300k,Fum,solo
0,295,3,male,24,7.8957999999999995,S,UO,300k,unk_na,solo
0,296,1,male,44.4,27.7208,C,UO,P,unk_na,solo
0,297,3,male,23.5,7.2292000000000005,C,UO,under_10k,unk_na,solo
0,298,1,female,2,151.55,S,C,100k,Fum,small
1,299,1,male,51.75,30.5,S,C,10k_up,unk_na,solo
1,300,1,female,50,247.5208,C,B,P,Fm,small
1,301,3,female,22.85,7.75,Q,UO,under_10k,Fum,solo
1,302,3,male,37.3,23.25,Q,UO,300k,unk_na,small
0,303,3,male,19,0,S,UO,other,unk_na,solo
1,304,2,female,33,12.350000000000001,Q,E,200k,Fum,solo
0,305,3,male,31.4,8.05,S,UO,A,unk_na,solo
1,306,1,male,0.92,151.55,S,C,100k,unk_na,small
1,307,1,female,36.9,110.88329999999999,C,UO,10k_up,Fum,solo
1,308,1,female,17,108.9,C,C,P,Fm,small
0,309,2,male,30,24,C,UO,P,unk_na,small
1,310,1,female,30,56.9292,C,E,P,Fum,solo
1,311,1,female,24,83.15829999999998,C,C,10k_up,Fum,solo
1,312,1,female,18,262.375,C,B,P,Fum,large
0,313,2,female,26,26,S,UO,200k,Fm,small
0,314,3,male,28,7.8957999999999995,S,UO,300k,unk_na,solo
0,315,2,male,43,26.25,S,UO,other,unk_na,small
1,316,3,female,26,7.8542,S,UO,300k,Fum,solo
1,317,2,female,24,26,S,UO,200k,Fm,small
0,318,2,male,54,14,S,UO,10k_up,unk_na,solo
1,319,1,female,31,164.8667,S,C,10k_up,Fum,small
1,320,1,female,40,134.5,C,E,10k_up,Fm,small
0,321,3,male,22,7.25,S,UO,A,unk_na,solo
0,322,3,male,27,7.8957999999999995,S,UO,300k,unk_na,solo
1,323,2,female,30,12.350000000000001,Q,UO,200k,Fum,solo
1,324,2,female,22,29,S,UO,200k,Fm,small
0,325,3,male,6.7,69.55,S,UO,C,unk_na,large
1,326,1,female,36,135.6333,C,C,P,Fum,solo
0,327,3,male,61,6.2375,S,UO,300k,unk_na,solo
1,328,2,female,36,13,S,D,10k_up,Fm,solo
1,329,3,female,31,20.525,S,UO,300k,Fm,small
1,330,1,female,16,57.9792,C,B,100k,Fum,small
1,331,3,female,20.75,23.25,Q,UO,300k,Fum,small
0,332,1,male,45.5,28.5,S,C,100k,unk_na,solo
0,333,1,male,38,153.4625,S,C,P,unk_na,small
0,334,3,male,16,18,S,UO,300k,unk_na,small
1,335,1,female,36.5,133.65,S,UO,P,Fm,small
0,336,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
0,337,1,male,29,66.6,S,C,100k,unk_na,small
1,338,1,female,41,134.5,C,E,10k_up,Fum,solo
1,339,3,male,45,8.05,S,UO,under_10k,unk_na,solo
0,340,1,male,45,35.5,S,UO,100k,unk_na,solo
1,341,2,male,2,26,S,F,200k,unk_na,small
1,342,1,female,24,263,S,C,10k_up,Fum,large
0,343,2,male,28,13,S,UO,200k,unk_na,solo
0,344,2,male,25,13,S,UO,200k,unk_na,solo
0,345,2,male,36,13,S,UO,200k,unk_na,solo
1,346,2,female,24,13,S,F,200k,Fum,solo
1,347,2,female,40,13,S,UO,10k_up,Fum,solo
1,348,3,female,28.8,16.1,S,UO,300k,Fm,small
1,349,3,male,3,15.9,S,UO,C,unk_na,small
0,350,3,male,42,8.662500000000001,S,UO,300k,unk_na,solo
0,351,3,male,23,9.225,S,UO,under_10k,unk_na,solo
0,352,1,male,50.3,35,S,C,100k,unk_na,solo
0,353,3,male,15,7.2292000000000005,C,UO,under_10k,unk_na,small
0,354,3,male,25,17.8,S,UO,300k,unk_na,small
0,355,3,male,28.65,7.225,C,UO,under_10k,unk_na,solo
0,356,3,male,28,9.5,S,UO,300k,unk_na,solo
1,357,1,female,22,55,S,E,100k,Fum,small
0,358,2,female,38,13,S,UO,200k,Fum,solo
1,359,3,female,22.85,7.879200000000001,Q,UO,300k,Fum,solo
1,360,3,female,22.85,7.879200000000001,Q,UO,300k,Fum,solo
0,361,3,male,40,27.9,S,UO,300k,unk_na,large
0,362,2,male,29,27.7208,C,UO,SC,unk_na,small
0,363,3,female,45,14.4542,C,UO,under_10k,Fm,small
0,364,3,male,35,7.05,S,UO,SOT,unk_na,solo
0,365,3,male,37.3,15.5,Q,UO,300k,unk_na,small
0,366,3,male,30,7.25,S,UO,C,unk_na,solo
1,367,1,female,60,75.25,C,D,100k,Fm,small
1,368,3,female,16.45,7.2292000000000005,C,UO,under_10k,Fm,solo
1,369,3,female,22.85,7.75,Q,UO,10k_up,Fum,solo
1,370,1,female,24,69.3,C,B,P,Fm,solo
1,371,1,male,25,55.4417,C,E,10k_up,unk_na,small
0,372,3,male,18,6.4958,S,UO,mil,unk_na,small
0,373,3,male,19,8.05,S,UO,300k,unk_na,solo
0,374,1,male,22,135.6333,C,UO,P,unk_na,solo
0,375,3,female,3,21.075,S,UO,300k,Fum,large
1,376,1,female,39.7,82.17079999999999,C,UO,P,Fm,small
1,377,3,female,22,7.25,S,UO,C,Fum,solo
0,378,1,male,27,211.5,C,C,100k,unk_na,small
0,379,3,male,20,4.012499999999999,C,UO,under_10k,unk_na,solo
0,380,3,male,19,7.775,S,UO,300k,unk_na,solo
1,381,1,female,42,227.525,C,UO,P,Fum,solo
1,382,3,female,1,15.741699999999998,C,UO,under_10k,Fum,small
0,383,3,male,32,7.925,S,UO,STO,unk_na,solo
1,384,1,female,35,52,S,UO,100k,Fm,small
0,385,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
0,386,2,male,18,73.5,S,UO,other,unk_na,solo
0,387,3,male,1,46.9,S,UO,C,unk_na,large
1,388,2,female,36,13,S,UO,10k_up,Fum,solo
0,389,3,male,37.3,7.7292000000000005,Q,UO,300k,unk_na,solo
1,390,2,female,17,12,C,UO,SC,Fum,solo
1,391,1,male,36,120,S,B,100k,unk_na,small
1,392,3,male,21,7.7958,S,UO,300k,unk_na,solo
0,393,3,male,28,7.925,S,UO,mil,unk_na,small
1,394,1,female,23,113.27499999999999,C,D,10k_up,Fum,small
1,395,3,female,24,16.7,S,UO,P,Fm,small
0,396,3,male,22,7.7958,S,UO,300k,unk_na,solo
0,397,3,female,31,7.8542,S,UO,300k,Fum,solo
0,398,2,male,46,26,S,UO,10k_up,unk_na,solo
0,399,2,male,23,10.5,S,UO,200k,unk_na,solo
1,400,2,female,28,12.65,S,UO,200k,Fm,solo
1,401,3,male,39,7.925,S,UO,STO,unk_na,solo
0,402,3,male,26,8.05,S,UO,300k,unk_na,solo
0,403,3,female,21,9.825000000000001,S,UO,under_10k,Fum,small
0,404,3,male,28,15.850000000000001,S,UO,STO,unk_na,small
0,405,3,female,20,8.662500000000001,S,UO,300k,Fum,solo
0,406,2,male,34,21,S,UO,10k_up,unk_na,small
0,407,3,male,51,7.75,S,UO,300k,unk_na,solo
1,408,2,male,3,18.75,S,UO,10k_up,unk_na,small
0,409,3,male,21,7.775,S,UO,300k,unk_na,solo
0,410,3,female,18.3,25.466699999999996,S,UO,under_10k,Fum,large
0,411,3,male,26,7.8957999999999995,S,UO,300k,unk_na,solo
0,412,3,male,37.3,6.8583,Q,UO,300k,unk_na,solo
1,413,1,female,33,90,Q,C,10k_up,Fum,small
0,414,2,male,35.6,0,S,UO,200k,unk_na,solo
1,415,3,male,44,7.925,S,UO,STO,unk_na,solo
0,416,3,female,24,8.05,S,UO,300k,Fm,solo
1,417,2,female,34,32.5,S,UO,10k_up,Fm,small
1,418,2,female,18,13,S,UO,200k,Fum,small
0,419,2,male,30,13,S,UO,10k_up,unk_na,solo
0,420,3,female,10,24.150000000000002,S,UO,300k,Fum,small
0,421,3,male,28.6,7.8957999999999995,C,UO,300k,unk_na,solo
0,422,3,male,21,7.733300000000001,Q,UO,A,unk_na,solo
0,423,3,male,29,7.875,S,UO,300k,unk_na,solo
0,424,3,female,28,14.4,S,UO,300k,Fm,small
0,425,3,male,18,20.2125,S,UO,300k,unk_na,small
0,426,3,male,31.15,7.25,S,UO,A,unk_na,solo
1,427,2,female,28,26,S,UO,under_10k,Fm,small
1,428,2,female,19,26,S,UO,200k,Fum,solo
0,429,3,male,37.3,7.75,Q,UO,300k,unk_na,solo
1,430,3,male,32,8.05,S,E,SOT,unk_na,solo
1,431,1,male,28,26.55,S,C,100k,unk_na,solo
1,432,3,female,28.8,16.1,S,UO,300k,Fm,small
1,433,2,female,42,26,S,UO,SC,Fm,small
0,434,3,male,17,7.124999999999999,S,UO,STO,unk_na,solo
0,435,1,male,50,55.9,S,E,10k_up,unk_na,small
1,436,1,female,14,120,S,B,100k,Fum,small
0,437,3,female,21,34.375,S,UO,other,Fum,large
1,438,2,female,24,18.75,S,UO,10k_up,Fm,large
0,439,1,male,64,263,S,C,10k_up,unk_na,large
0,440,2,male,31,10.5,S,UO,C,unk_na,solo
1,441,2,female,45,26.25,S,UO,other,Fm,small
0,442,3,male,20,9.5,S,UO,300k,unk_na,solo
0,443,3,male,25,7.775,S,UO,300k,unk_na,small
1,444,2,female,28,13,S,UO,200k,unk_na,solo
1,445,3,male,31.2,8.1125,S,UO,10k_up,unk_na,solo
1,446,1,male,4,81.85829999999999,S,A,10k_up,unk_na,small
1,447,2,female,13,19.5,S,UO,200k,Fum,small
1,448,1,male,34,26.55,S,UO,100k,unk_na,solo
1,449,3,female,5,19.2583,C,UO,under_10k,Fum,small
1,450,1,male,52,30.5,S,C,100k,unk_na,solo
0,451,2,male,36,27.75,S,UO,C,unk_na,small
0,452,3,male,27.1,19.966699999999996,S,UO,10k_up,unk_na,small
0,453,1,male,30,27.75,C,C,100k,unk_na,solo
1,454,1,male,49,89.1042,C,C,10k_up,unk_na,small
0,455,3,male,31.4,8.05,S,UO,A,unk_na,solo
1,456,3,male,29,7.8957999999999995,C,UO,300k,unk_na,solo
0,457,1,male,65,26.55,S,E,10k_up,unk_na,solo
